symbol,gamma,kappa,min_spread,open_mult,train_sharpe,train_pnl,test_sharpe,test_pnl,total_pnl,avg_daily_pnl,profitable_days,test_days,pnl_std
ADANIPORTS26JUNFUT,0.002,2.0,0.25,1.0,5.8298,-122071.64,5.0075,-202365.67,-306707.97,-61341.59,1,4,55810.11
ADANIPORTS26JUNFUT,0.002,2.0,0.25,1.5,7.026,-61752.72,5.605,-123458.34,-170817.74,-34163.55,0,4,31972.62
ADANIPORTS26JUNFUT,0.002,2.0,0.25,2.0,6.2525,-76457.08,5.7625,-111503.9,-180397.78,-36079.56,1,4,34873.14
ADANIPORTS26JUNFUT,0.002,2.0,0.25,3.0,6.496,-80283.18,6.0275,-62757.4,-130046.79,-26009.36,0,4,22906.99
ADANIPORTS26JUNFUT,0.002,2.0,0.5,1.0,5.8298,-122071.64,5.0075,-202365.67,-306707.97,-61341.59,1,4,55810.11
ADANIPORTS26JUNFUT,0.002,2.0,0.5,1.5,7.026,-61752.72,5.605,-123458.34,-170817.74,-34163.55,0,4,31972.62
ADANIPORTS26JUNFUT,0.002,2.0,0.5,2.0,6.2525,-76457.08,5.7625,-111503.9,-180397.78,-36079.56,1,4,34873.14
ADANIPORTS26JUNFUT,0.002,2.0,0.5,3.0,6.496,-80283.18,6.0275,-62757.4,-130046.79,-26009.36,0,4,22906.99
ADANIPORTS26JUNFUT,0.005,1.0,0.05,1.0,5.7554,-10338.92,4.62,-48386.35,-71003.0,-14200.6,2,4,34246.67
ADANIPORTS26JUNFUT,0.005,1.0,0.05,1.5,6.7571,14648.31,5.71,3509.7,4193.89,838.78,3,4,23208.21
ADANIPORTS26JUNFUT,0.005,1.0,0.05,2.0,8.3642,44611.28,4.935,-32420.35,-2420.4,-484.08,3,4,35568.27
ADANIPORTS26JUNFUT,0.005,1.0,0.05,3.0,8.6246,33406.14,5.7375,4123.85,20202.58,4040.52,3,4,22939.18
ADANIPORTS26JUNFUT,0.005,1.0,0.1,1.0,5.7554,-10338.92,4.62,-48386.35,-71003.0,-14200.6,2,4,34246.67
ADANIPORTS26JUNFUT,0.005,1.0,0.1,1.5,6.7571,14648.31,5.71,3509.7,4193.89,838.78,3,4,23208.21
ADANIPORTS26JUNFUT,0.005,1.0,0.1,2.0,8.3642,44611.28,4.935,-32420.35,-2420.4,-484.08,3,4,35568.27
ADANIPORTS26JUNFUT,0.005,1.0,0.1,3.0,8.6246,33406.14,5.7375,4123.85,20202.58,4040.52,3,4,22939.18
ADANIPORTS26JUNFUT,0.005,1.0,0.25,1.0,5.7554,-10338.92,4.62,-48386.35,-71003.0,-14200.6,2,4,34246.67
ADANIPORTS26JUNFUT,0.005,1.0,0.25,1.5,6.7571,14648.31,5.71,3509.7,4193.89,838.78,3,4,23208.21
ADANIPORTS26JUNFUT,0.005,1.0,0.25,2.0,8.3642,44611.28,4.935,-32420.35,-2420.4,-484.08,3,4,35568.27
ADANIPORTS26JUNFUT,0.005,1.0,0.25,3.0,8.6246,33406.14,5.7375,4123.85,20202.58,4040.52,3,4,22939.18
ADANIPORTS26JUNFUT,0.005,1.0,0.5,1.0,5.7554,-10338.92,4.62,-48386.35,-71003.0,-14200.6,2,4,34246.67
ADANIPORTS26JUNFUT,0.005,1.0,0.5,1.5,6.7571,14648.31,5.71,3509.7,4193.89,838.78,3,4,23208.21
